名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
金钢铂林 欧洲原装进口三层实木复合地板 芬兰M1环保认证木地板 地暖可用14mm地板 三拼红色橡木 2200x204x14mm,359.00 ,9.51,9.53,9.51,9.56,金钢铂林,20.0kg,平口,其他,实木复合地板,金钢铂林地板专营店,1,5,0,0
金钢铂林 强化复合地板 欧洲原装进口木地板环保耐磨 E0健康地板 大西洋橡木 大西洋橡木 1288*152.4*8mm,288.00 ,9.51,9.53,9.51,9.56,金钢铂林,20.0kg,V型槽,8mm,强化复合地板,金钢铂林地板专营店,0,3,0,0
金钢铂林 原装进口三层实木地板 单拼白蜡木多层实木地板14mm厚地暖地板 单拼城镇白蜡木,804.00 ,9.51,9.53,9.51,9.56,金钢铂林,20.0kg,平口,14mm,实木复合地板,金钢铂林地板专营店,0,0,0,0
金舰  实木复合地板厂家直销木地板 背景墙拼花地板 高端大气 450*450*15,285.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 纯实木地板 18mm圆盘豆 平面工艺 厂家直售 环保自然 万木不朽 Z8846-威尼斯(绯红)910*130*18,165.00 ,9.6,9.57,9.55,9.61,金舰,25.0kg,其他,其他,实木地板,金舰家居旗舰店,135,100,1,5
金舰 纯实木地板非洲纽墩豆大河马18mm木地板 大厂家直销 Z8804-罗曼尼,208.00 ,9.6,9.57,9.55,9.61,金舰,25.0kg,平口,18mm,实木地板,金舰家居旗舰店,0,20,0,0
金舰 纯实木地板龙凤檀木地板 大厂家直销 自然环保木地板 A8818深红 760*125*18,349.00 ,9.6,9.57,9.55,9.61,金舰,25.0kg,平口,18mm,实木地板,金舰家居旗舰店,1,2,0,0
金舰 纯实木地板橡木本色平面原木地板 大厂家直售 自然环保 1210*125*18,378.00 ,9.6,9.57,9.55,9.61,金舰,25.0kg,平口,18mm,实木地板,金舰家居旗舰店,0,0,0,0
金舰 多层实木复合拼花橡木地板 欧式仿古地暖艺术大厂家直销 450*450*15,260.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,1,0,0
金舰 拼花地板 格兰基多层复合木地板 背景墙 大厂家直销自然环保 450*450*15,298.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 实木地板金刚柚木人字拼地板 纯手工艺术大厂家直销自然环保 R8110-2棕黄色 450*90*18,215.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,18mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 实木复合地板桦木多层地热木地板 大厂家直售 自然环保 HM8909偏红 1210*166*15,199.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 实木复合木地板 大厂直销复合拼花地板 艺术背景墙自然环保 花梨 酸枝 p8231 450*450*15,462.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 实木复合拼花地板个性背景墙 定制 木地板墙板 大厂家直销 烟柳沙比利 酸枝  p8224-1 450*450*15,289.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 手工拼花实木多层复合地板大厂家直销木地板 环保自然 450*450*15,349.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 水曲柳拼花地板实木多层复合木地板 大厂家直销 自然环保 450*450*15,269.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰 艺术拼花实木复合地板 大厂家直销环保木地板 高端背景墙 450*450*15,389.00 ,9.6,9.57,9.55,9.61,金舰,20.0kg,平口,15mm,实木复合地板,金舰家居旗舰店,0,0,0,0
金舰地板实木地板橡木仿古手抓纹18mm 大厂家直销 自然环保 890*147*17.2,206.00 ,9.6,9.57,9.55,9.61,金舰,25.0kg,平口,18mm,实木地板,金舰家居旗舰店,231,400,2,3
金欧米地板 布纹强化复合木地板防滑地板 强化地板 环保木地板12mm 奥利斯塔,89.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 布纹强化复合木地板防滑地板 强化地板 环保木地板12mm 马特拉,89.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 布纹强化复合木地板防滑地板 强化地板 环保木地板12mm 墨西拿,89.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 复合强化木地板 同步对花 木纹 高耐磨 12mm环保板 佛罗伦萨,69.00 ,9.87,9.83,9.85,9.83,金欧米,1.25kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 复合强化木地板 同步对花 木纹 高耐磨 12mm环保板 弗利之夜,69.00 ,9.87,9.83,9.85,9.83,金欧米,1.25kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 复合强化木地板 同步对花 木纹 高耐磨 12mm环保板 格罗塞托,79.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 复合强化木地板 同步对花 木纹 高耐磨 12mm环保板 卡波巴索,69.00 ,9.87,9.83,9.85,9.83,金欧米,1.25kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 复合强化木地板 同步对花 木纹 高耐磨 12mm环保板 库内奥,69.00 ,9.87,9.83,9.85,9.83,金欧米,1.25kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 复合强化木地板 同步对花 木纹 高耐磨 12mm环保板 拉圭纳,79.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 强化复合木地板 12mm平面防水耐磨客厅卧室木地板 安科纳,59.00 ,9.87,9.83,9.85,9.83,金欧米,1.25kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,2,100,0,0
金欧米地板 强化复合木地板 防水防滑耐磨12mm复合地板 拉蒂纳,69.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金欧米地板 强化复合木地板 防水防滑耐磨12mm复合地板 曼图瓦,69.00 ,9.87,9.83,9.85,9.83,金欧米,2.5kg,R型槽,12mm,强化复合地板,金欧米官方旗舰店,0,0,0,0
金鹰艾格 8822三层实木复合木地板 E1级出口欧美精品橡木地板 网络专供,416.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.5kg,单锁口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 8826三层实木复合木地板 E1级出口欧美精品橡木地板 网络专供,538.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.5kg,单锁口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 DS-001三层实木复合木地板 E1级出口欧美精品橡木地板 松木基材 网络专供,499.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.5kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 DS-002三层实木复合木地板 E1级出口欧美精品橡木地板 松木基材 网络专供,499.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.5kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 儿童迪斯尼系列 环保强化复合木地板 高密度纤维板 浅蓝色 1395*395*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,16.0kg,其他,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 强化3061复合地板 环保健康出口地板 地暖木地板 灰色 2445X189X12mm,268.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,32.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 强化地板3051A环保健康木地板 E1级出口地板 灰色 2445X189X12mm,268.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,31.88kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号3060 环保强化复合木地板 厂家直销 防潮耐磨 褐色 2445X189X12mm,258.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,32.0kg,其他,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号3579特价 环保强化复合木地板 高密度纤维板 2445*159*12mm,209.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,1.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号6011 环保 橡木 三层实木复合木地板 厚度15mm 1900*190*15,648.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,25.0kg,平口,15mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号6510 环保 橡木 三层实木复合木地板 厚度14mm 1200*190*14/3mm,499.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,25.0kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号750网络特供环保强化复合木地板 高密度纤维 浅灰色 1210*191*10,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.3kg,单锁口,10mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号7530特价 环保强化复合木地板 高密度纤维板 褐色 1210*191*10mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.3kg,单锁口,10mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格 型号8660 环保强化复合木地板 高密度纤维板 褐色 2445*160*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,31.5kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格8020三层实木复合地板 橡木环保地暖木地板双面板,996.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,25.0kg,平口,15mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格8840三层实木复合地板 环保橡木地板 1200*190*14mm,499.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,20.0kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格O2O 网络专供DS8021三层实木复合木地板 环保地暖地板 915*148*14mm,279.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,8.6kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格TOUCH8650 环保强化复合木地板 高密度纤维板清仓 2445*189*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,1.5kg,其他,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板 环保 橡木漆面三层实木复合木地板 纯手工打磨拉丝 厚度14mm  6520 棕色 1200*190*14/3mm,499.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,10.0kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板 强化复合地板 仿实木纹理 超强耐磨防滑E0级环保木地板DQ1609 浅黄色 1218*146*12,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,10.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板 三层实木复合地板 E1品质 出口欧美精品橡木地板 DS001 茶色 2445X189X12mm,499.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,22.5kg,平口,14mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,1,0,0
金鹰艾格地板 实木复合地板 高科技实木地板 强化芯材 实木橡木表层 稳定性高DF08 1200*120*12/2 1,399.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,1.0kg,单锁口,12mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板 实木复合地板 三层实木复合地板 橡木地板环保地热木地板 DS6021 红色900*148*14mm,239.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,15.6kg,平口,15mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板 实木复合地板枫木地板 实木强化科技专利地板DF07 1200*120*12/2 1,399.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,1.0kg,单锁口,12mm,实木复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板2370特价强化复合地板 强化木地板 环保强化地板 1800*240*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,1.5kg,其他,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板8550清仓强化复合木地板 强化地板 进口装饰纸耐地热 2445*189*12mm,219.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,32.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板强化复合地板白色纹理木地板仿古地板耐磨环保DQ1603 浅灰色 1215*143*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,10.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格地板卧室木地板耐磨抗污E0级环保静音强化复合地板DQ1601 1215*143*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,10.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
金鹰艾格强化地板强化复合木地板E0级环保 耐磨防水地板 DQ1602 棕色 1215*143*12mm,199.00 ,-----,-----,-----,-----,金鹰艾格（perfec）,10.0kg,单锁口,12mm,强化复合地板,金鹰艾格木地板官方旗舰店,0,0,0,0
景岚12mm强化复合欧式拼花地板古典复古防潮耐磨木地板 星罗棋布-FL505,71.00 ,9.73,9.67,9.71,9.71,景岚,24.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,1,0,0
景岚仿古拼花复合木地板健康环保12mm家装个性地板 波点艺术-FS8108,66.00 ,9.73,9.67,9.71,9.71,景岚,20.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,4,0,0
景岚复古拼花地板强化复合木地板健康环保12mm个性耐磨 不拘一格-S6101,72.00 ,9.73,9.67,9.71,9.71,景岚,22.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,2,0,0
景岚个性彩色地板强化复合木地板墙板服装店酒吧环保健康防水耐磨 纸上艺术-LY21,56.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,0,10,0,0
景岚个性木地板彩色艺术强化复合地板酒店服装咖啡店商场地板墙板耐磨防滑 激浪勇进-238A,52.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,5,20,0,0
景岚个性拼花强化复合地板家用复古木地板酒吧特色木地板 斗转星移-FS8132-1,65.00 ,9.73,9.67,9.71,9.71,景岚,20.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,1,0,0
景岚木地板复古个性耐磨环保服装咖啡店12mm仿古墙板 枕边记忆-LY6,60.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,0,6,0,0
景岚木地板强化复合彩色复古个性墙板仿古服装咖啡店工业会所酒吧 日落情怀-207E,49.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,35,100,0,0
景岚木地板强化复合客厅背景墙板简约家装防潮防磨损 家装系列-1982,77.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,0,1,0,0
景岚拼花地板强化复合个性仿古木地板防滑耐磨12mm工程板 繁花落尽-FS8151,70.00 ,9.73,9.67,9.71,9.71,景岚,20.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,1,0,0
景岚拼花木地板个性防滑耐磨12mm酒吧会所家用木地板 关山重重-FL8017,67.00 ,9.73,9.67,9.71,9.71,景岚,24.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,1,0,0
景岚强化复合个性木地板墙板仿实木健康环保地板耐磨8mm厚 出彩中国-2002,39.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,8mm,强化复合地板,景岚旗舰店,0,10,1,0
景岚强化复合木地板12mm个性拼花地板防滑耐磨仿古木地板 花开锦绣-FS8805,73.00 ,9.73,9.67,9.71,9.71,景岚,20.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,2,0,0
景岚强化复合木地板彩色欧式复古服装店网吧个性背景墙板 邮电马车-725,62.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,0,5,0,0
景岚强化复合木地板个性12mm欧式拼花防水耐磨家用地板 刹那芳华-FS8136,76.00 ,9.73,9.67,9.71,9.71,景岚,20.0kg,单锁口,12mm,强化复合地板,景岚旗舰店,0,2,0,0
景岚强化复合木地板个性墙板彩色做旧拼接复古年轮木纹家装酒吧茶馆餐厅12mm 时光叠影-JL215B,69.00 ,9.73,9.67,9.71,9.71,景岚,25.0kg,V型槽,12mm,强化复合地板,景岚旗舰店,1,10,0,0
康辉 地板 强化木地板环保易洁强化复合地板12mm厂家直销JD6820,198.00 ,9.52,9.55,9.51,9.54,康辉,21.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉 复合地板 强化木地板环保易洁强化 12mm厂家直销JD5515-1,228.00 ,9.52,9.55,9.51,9.54,康辉,18.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉纯实木地板番龙眼宽板全实木地板18mm实木地板原木厂家直销健康环保超耐磨,238.00 ,9.52,9.55,9.51,9.54,康辉,1.2kg,双锁口,18mm,实木地板,康辉官方旗舰店,1,2,0,0
康辉纯实木地板名贵木花梨木实木地板18mm陶釉面木地板环保 超耐磨 厂家直销100%纯实木 亚花梨标版,537.00 ,9.52,9.55,9.51,9.54,康辉,28.0kg,双锁口,18mm,实木地板,康辉官方旗舰店,0,1,0,0
康辉纯实木地板柚木原木地板进口全实木地板厂家直销柚木纯实木天然健康环保表面耐磨 910*125*18MM,888.00 ,9.52,9.55,9.51,9.54,康辉,1.4kg,平口,18mm,实木地板,康辉官方旗舰店,0,0,0,0
康辉地板纯实木地板圆盘豆实木地板原木地板  18mm厂家直销 圆盘豆8859-2 910*122*18MM,278.00 ,9.52,9.55,9.51,9.54,康辉,28.0kg,双锁口,18mm,实木地板,康辉官方旗舰店,0,1,1,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销JD3308-1,118.00 ,9.52,9.55,9.51,9.54,康辉,16.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销JD5516-1,188.00 ,9.52,9.55,9.51,9.54,康辉,18.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销JD6619-1抢购！,188.00 ,9.52,9.55,9.51,9.54,康辉,22.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销JD6627-1抢购！,188.00 ,9.52,9.55,9.51,9.54,康辉,22.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销JD6901-1,198.00 ,9.52,9.55,9.51,9.54,康辉,24.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销JD6908-1,178.00 ,9.52,9.55,9.51,9.54,康辉,24.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板强化木地板环保易洁强化复合地板12mm厂家直销夏威夷海滩JD3301-1,208.00 ,9.52,9.55,9.51,9.54,康辉,22.0kg,双锁口,12mm,强化复合地板,康辉官方旗舰店,0,0,0,0
康辉地板实木复合木地板 复合 实木复合地板15mm 厂家直销9975JD东方神韵,389.00 ,9.52,9.55,9.51,9.54,康辉,1.53kg,双锁口,15mm,实木复合地板,康辉官方旗舰店,0,0,0,0
康辉地板实木复合木地板 复合 实木复合地板15mm 厂家直销JD9972卢浮宫印象,322.00 ,9.52,9.55,9.51,9.54,康辉,1.5kg,双锁口,15mm,实木复合地板,康辉官方旗舰店,0,0,0,0
康辉地板实木复合木地板 复合 实木复合地板15mm 厂家直销JD9977特洛伊城,498.00 ,9.52,9.55,9.51,9.54,康辉,1.5kg,双锁口,15mm,实木复合地板,康辉官方旗舰店,0,0,0,0
康辉地板实木复合木地板 复合 实木复合地板15mm 厂家直销JD9993维也纳曙光,336.00 ,9.52,9.55,9.51,9.54,康辉,1.5kg,双锁口,18mm,实木复合地板,康辉官方旗舰店,0,0,0,0
康辉韩式地暖地板 韩国远红外电热地板木地板 地暖地板 内置碳晶纤维发热地板 橡木 1210*165*15mm,598.00 ,9.52,9.55,9.51,9.54,康辉,1.4kg,平口,15mm,实木复合地板,康辉官方旗舰店,0,20,0,0
康辉木地板纯实木地板复古地板原木地板厂家直销红檀比橡木高5级 裸价板,288.00 ,9.52,9.55,9.51,9.54,康辉,2.1kg,双锁口,18mm,实木地板,康辉官方旗舰店,4,100,1,1
康辉木地板纯实木地板实木地板重蚁木紫檀地板复古地板厂家直销 610*90/95*18,278.00 ,9.52,9.55,9.51,9.54,康辉,30.0kg,双锁口,18mm,实木地板,康辉官方旗舰店,,,,
考斯菲尔/多层实木地板/博奥斯系列/BO-6306,436.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.952kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔/多层实木地板/博奥斯系列/BO-6501,1072.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.62kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔/多层实木地板/博奥斯系列/BO-6501 BO-6509,566.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.62kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔/多层实木地板/博奥斯系列/BO-6506,588.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.62kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔/多层实木地板/博奥斯系列/迪斯红桦木/6211,289.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.872kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔/多层实木地板/博奥斯系列/迪斯黄桦木/6212,289.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.188kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔/多层实木地板/博奥斯系列/考斯尔柚木/BO-6101,223.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.083kg,其他,15mm,实木复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔地板 12mm强化复合木地板 实测甲醛E0 9000转耐磨 WD-8662,198.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.872kg,R型槽,12mm,强化复合地板,考斯菲尔旗舰店,0,1,0,0
考斯菲尔地板 12mm强化复合木地板 实测甲醛E0 耐磨 艾克灰橡 WD-8651,136.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.43kg,其他,12mm,强化复合地板,考斯菲尔旗舰店,3,2,0,0
考斯菲尔地板 12mm强化复合木地板 实测甲醛E0 耐脏耐磨 洛佳系列 LJ-8803,128.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.188kg,R型槽,12mm,强化复合地板,考斯菲尔旗舰店,0,3,0,0
考斯菲尔地板 12mm强化复合木地板 实测甲醛E0 耐脏耐磨 沃德系列 WD-8667,149.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.43kg,其他,12mm,强化复合地板,考斯菲尔旗舰店,0,6,0,0
考斯菲尔地板 9mm强化复合木仿檀木地板 实测甲醛E0 耐脏耐磨 波尼系列 BN-9109,98.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.083kg,其他,其他,强化复合地板,考斯菲尔旗舰店,1,8,0,0
考斯菲尔地板 黄柚木 9mm强化复合木地板 实测甲醛E0 耐脏耐磨 BN-9103,98.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.24kg,其他,其他,强化复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔地板 强化复合木地板 实测甲醛E0 9000转耐磨耐脏 厂家直销 8815-8,68.00 ,9.71,9.83,9.71,9.74,考斯菲尔,1.62kg,R型槽,8mm,强化复合地板,考斯菲尔旗舰店,0,40,3,2
考斯菲尔地板 强化复合木地板 实测甲醛E0 耐脏耐磨 波尼系列,98.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.083kg,R型槽,其他,强化复合地板,考斯菲尔旗舰店,0,20,0,0
考斯菲尔地板 瑞士黄苹果 11mm强化复合木地板 高密度材质 耐脏耐磨地板 LJ-3353,108.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.2kg,其他,,强化复合地板,考斯菲尔旗舰店,0,0,0,0
考斯菲尔地板 原色橡木 12mm强化复合木地板 实测甲醛E0 高耐磨耐脏 LJ-8815,128.00 ,9.71,9.83,9.71,9.74,考斯菲尔,2.187kg,R型槽,12mm,强化复合地板,考斯菲尔旗舰店,21,100,1,3
克诺泰斯KRONOTEX德国原装进口地板强化复合木地板环保适用地暖地热8MM D3066云橡木,151.00 ,9.78,9.71,9.76,9.75,克诺泰斯,15.0kg,双锁口,8mm,强化复合地板,克诺泰斯地板旗舰店,1,100,0,0
克诺泰斯KRONOTEX德国原装进口强化复合地板E0级环保仿实木地板12MM D2778核桃木,262.00 ,9.78,9.71,9.76,9.75,克诺泰斯,1.875kg,双锁口,12mm,强化复合地板,克诺泰斯地板旗舰店,0,60,0,0
"克诺泰斯德国原装进口AC4,E0级环保强化复合木地板D3585千棵树",193.00 ,9.78,9.71,9.76,9.75,克诺泰斯,1.875kg,双锁口,8mm,强化复合地板,克诺泰斯地板旗舰店,3,10,0,0
"克诺泰斯德国原装进口AC5,E0级环保强化复合木地板 D3077铜色珠峰橡木",342.00 ,9.78,9.71,9.76,9.75,克诺泰斯,3.75kg,双锁口,12mm,强化复合地板,克诺泰斯地板旗舰店,0,3,0,0
"克诺泰斯德国原装进口AC5,E0级环保强化复合木地板D3572地中海灰橡木",262.00 ,9.78,9.71,9.76,9.75,克诺泰斯,2.5kg,双锁口,12mm,强化复合地板,克诺泰斯地板旗舰店,0,0,0,0
"克诺泰斯德国原装进口木地板AC5,E0级环保强化复合地板D2967西伯利亚橡木",256.00 ,9.78,9.71,9.76,9.75,克诺泰斯,2.5kg,双锁口,10mm,强化复合地板,克诺泰斯地板旗舰店,0,0,0,0
"克诺泰斯德国原装进口木地板AC5,E0级环保强化复合地板D3570卡布奇诺橡木",262.00 ,9.78,9.71,9.76,9.75,克诺泰斯,3.0kg,双锁口,12mm,强化复合地板,克诺泰斯地板旗舰店,0,0,0,0
